case,sample_id,domain,intent_label,gold,gold_rank,gold_score,top1,top1_same_group,context_preview
11,19_session_0008#turn1387,Media Sharing,neutral_acknowledgment,5893157539175992440.png,4,8.0034,6046610338340673175.png,True,bc545aa2: || a1dbb800: || 1f5ce2c1: [sticker:6323265807694431515.webm] || 1f5ce2c1: [sticker:5294038961780428877.gif] || 04a2cbb9: || 63ce0405: || 7bcb06c0: || 25e5fd53: [sticker:6338991448196646653.webm] || bc545aa2:...
12,58_session_0003#turn7041,Media Sharing,neutral_acknowledgment,5974234315427418172.png,8,8.1356,202331403893877459.png,True,13970572: U-Sticker detects a link. || 772aed02: [sticker:5312353514079398552.gif] || None: [sticker:5935884831614307610.png] || None: [sticker:5769503704147299260.png] || None: [sticker:202331403893874322.png] || Non...
13,58_session_0003#turn2214,Media Sharing,celebration_approval,202331403893876282.png,9,7.981,202331403893877459.png,True,"13970572: #USER_ID, #USER_ID has increased your reputation. 🏆 Your reputation 11 || None: [sticker:202331403893876616.png] || None: [sticker:202331403893876604.png] || None: [sticker:202331403893876605.png] || d921fa9..."
14,40_session_0001#turn110090,Game,frustration_disapproval,674369926294667305.png,9,7.6194,674369926294667297.png,True,c50657ba: he somehow nvr choco when play w me || 782b0786: his lunox ystd choco || 5531d655: bro say srs || c50657ba: quite jago || 5531d655: u gt ex gf bef anot || b24cc31e: He giving chance right @#USER || 782b0786:...
15,40_session_0001#turn335459,Game,frustration_disapproval,674369926294667276.png,11,7.3303,674369926294667297.png,True,9d47b65d: you talk the most but you got friends outside ? || ed90d0e0: UwU yes || e4d440b3: gas aja || 5fb35712: need me carry again? || be64d543: I am not 74%1 || 9d47b65d: got friends outside won’t be playing ml la ...
16,58_session_0003#turn2906,Media Sharing,neutral_acknowledgment,202331403893877868.png,12,8.5981,202331403893877459.png,True,None: [sticker:202331403893873357.png] || None: [sticker:202331403893877233.png] || c9327094: || None: [sticker:202331403893874216.png] || c9327094: || 1df6e146: [sticker:6291545464168777471.png] || None: [sticker:597...
17,58_session_0003#turn4706,Media Sharing,neutral_acknowledgment,202331403893876623.png,13,8.4603,202331403893877459.png,True,c9327094: || c9327094: || c9327094: || c9327094: [sticker:5913719476062261239.png] || None: [sticker:202331403893873445.png] || None: [sticker:202331403893876626.png] || None: [sticker:202331403893876604.png] || 1f5ce...
18,58_session_0003#turn4693,Media Sharing,neutral_acknowledgment,5893427997561587841.png,14,8.5516,202331403893877459.png,True,1df6e146: [sticker:202331403893873349.png] || None: [sticker:5996952519169805890.png] || None: [sticker:5976688850582375629.png] || None: [sticker:5974555909693639078.png] || 1f5ce2c1: [sticker:6147645982235427562.png...
19,58_session_0003#turn696,Media Sharing,celebration_approval,202331403893875178.png,14,7.9976,202331403893877459.png,True,c9327094: [sticker:5348463133792930831.gif] || None: [sticker:202331403893873037.png] || None: [sticker:202331403893873100.png] || None: [sticker:202331403893874384.png] || None: [sticker:202331403893874197.png] || c9...
20,52_session_0018#turn180,Media Sharing,neutral_acknowledgment,2345073579797774953.png,15,8.5721,675168768736887035.png,True,None: [sticker:1621864712796897343.png] || 280be97b: [sticker:1621864712796897341.png] || None: [sticker:1621864712796897341.png] || 98a90540: [sticker:6168125125037132167.webm] || None: [sticker:6170316666459653776.w...
21,58_session_0003#turn1454,Media Sharing,celebration_approval,202331403893877293.png,15,8.1938,202331403893877459.png,True,None: [sticker:202331403893877241.png] || None: [sticker:202331403893873001.png] || None: [sticker:202331403893873120.png] || None: [sticker:202331403893874495.png] || None: [sticker:202331403893873037.png] || None: [...
22,08_session_0172#turn20,Media Sharing,confusion_curiosity,202331403893877231.png,15,7.6724,1220028319907447045.gif,True,1f5ce2c1: [sticker:773947703670341902.gif] || bc545aa2: || 7f676b01: [sticker:5895283547987511465.png] || bc545aa2: || 7f676b01: [sticker:463160502877421915.png] || 1f5ce2c1: [sticker:5305553498518075583.png] || bc545...
23,19_session_0008#turn430,Media Sharing,frustration_disapproval,5978886108606368801.png,16,7.3179,202331403893877739.png,True,ddb7b593: || 7bcb06c0: || 7bcb06c0: || 7bcb06c0: || 3d59a544: || bc545aa2: || 7bcb06c0: || bc545aa2: || 63ce0405: [sticker:6107203633873423341.webm] || 225a742e: || bc545aa2: || b9c5ac51: Noone with a brain believes this
24,58_session_0003#turn3800,Media Sharing,neutral_acknowledgment,5893059875914647467.png,18,8.2557,202331403893877459.png,True,1f5ce2c1: [sticker:3470749070304215364.png] || 1f5ce2c1: || 4df0ddd5: || 1f5ce2c1: [sticker:3470749070304215225.png] || None: [sticker:202331403893873207.png] || 1df6e146: || c9327094: [sticker:202331403893875713.png]...
25,58_session_0003#turn5395,Media Sharing,celebration_approval,5899776788153765374.png,18,7.8868,5893157539175992440.png,False,5ef59e1c: || 116d0311: [sticker:646297242658930853.png] || 116d0311: [sticker:646297242658930851.png] || None: [sticker:202331403893874564.png] || dd81edc8: Thx || None: [sticker:202331403893874469.png] || None: [stic...
26,40_session_0001#turn569003,Game,frustration_disapproval,1833563040931381796.png,19,7.515,5852749413113401777.webm,False,6d7c349d: U FLICKER || 0c964165: just that they got too much burst damage || 6d7c349d: 50 SECS AFTER KICK || 0c964165: bobian hais || 0c964165: wtf anyhow don’t slander my chou || 0c964165: SMLJ || 6d7c349d: Ok sorry ...
27,53_session_0001#turn1656,Game,neutral_acknowledgment,1017943490086044332.png,20,7.999,1017943490086044348.png,True,"0ccfe63a: pretty sure those are usd || 8a23b6b1: Huh || 369016ff: See where u buying it from n if its filtered lor || 23b73feb: how lol || 369016ff: This sort of thing is like people selling gold online, if price is w..."
28,58_session_0003#turn6284,Media Sharing,neutral_acknowledgment,202331403893874569.png,21,8.5156,202331403893877459.png,True,None: [sticker:5974388242760338656.png] || None: [sticker:202331403893877845.png] || None: [sticker:202331403893876131.png] || None: [sticker:202331403893873145.png] || None: [sticker:202331403893874242.png] || None: ...
29,58_session_0003#turn7042,Media Sharing,neutral_acknowledgment,202331403893877866.png,21,8.3174,202331403893877459.png,True,772aed02: [sticker:5312353514079398552.gif] || None: [sticker:5935884831614307610.png] || None: [sticker:5769503704147299260.png] || None: [sticker:202331403893874322.png] || None: [sticker:5936093644334304208.png] ||...
30,58_session_0003#turn6383,Media Sharing,frustration_disapproval,5974305985546685907.png,21,8.2594,202331403893877459.png,True,ab007132: #USER_ID [`#USER_ID`] ha ricevuto 1 ammonizioni su 3 || None: [sticker:5974141990810423158.png] || None: [sticker:5974234315427418172.png] || c2f1f6ed: hi || c2f1f6ed: || None: [sticker:202331403893871612.pn...
31,52_session_0003#turn291,Media Sharing,neutral_acknowledgment,6053016264882782727.png,21,8.0272,5472006553802380397.webm,True,None: [sticker:5463038318490949646.webm] || c23f52e7: [sticker:5463038318490949646.webm] || None: [sticker:675168768736887035.png] || c23f52e7: [sticker:5899842677247053671.png] || None: [sticker:675168768736887094.pn...
32,58_session_0003#turn799,Media Sharing,celebration_approval,5812307524312894395.png,25,7.6109,202331403893877459.png,True,"None: U-Sticker detects a link. || None: [sticker:202331403893873957.png] || 13970572: #USER_ID, #USER_ID has increased your reputation. 🏆 Your reputation 1 || None: [sticker:202331403893874313.png] || None: [sticker:..."
33,58_session_0003#turn4760,Media Sharing,neutral_acknowledgment,202331403893877881.png,26,8.3431,202331403893877459.png,True,None: [sticker:202331403893877277.png] || 39aabec1: || 39aabec1: [sticker:3868942020961635301.png] || 39aabec1: [sticker:3868942020961635304.png] || 39aabec1: || c9327094: || 1df6e146: || c9327094: || c9327094: [stick...
34,58_session_0003#turn3357,Media Sharing,neutral_acknowledgment,5857005309091908747.png,28,8.4128,202331403893877459.png,True,None: [sticker:202331403893873241.png] || None: [sticker:202331403893873255.png] || None: [sticker:5812396657769188201.png] || c9327094: [sticker:202331403893873037.png] || None: [sticker:5913384696246438879.png] || N...
35,58_session_0003#turn5255,Media Sharing,neutral_acknowledgment,202331403893877240.png,28,8.3598,202331403893877459.png,True,5ef59e1c: [sticker:5264817254133933963.png] || None: [sticker:202331403893872566.png] || 5ef59e1c: [sticker:1833563040931381711.png] || 116d0311: [sticker:5014883950309409593.png] || None: [sticker:202331403893877266....
36,58_session_0029#turn127,Media Sharing,neutral_acknowledgment,202331403893877732.png,29,8.7327,5823580692478431132.png,True,85f4f9e8: || None: [sticker:5816550041468276397.png] || ab007132: || None: [sticker:202331403893875909.png] || ab007132: || None: [sticker:202331403893877233.png] || c9327094: [sticker:202331403893873037.png] || c9327...
37,52_session_0018#turn359,Media Sharing,neutral_acknowledgment,675168768736887056.png,29,8.3105,5350346567146548967.webm,True,62471b73: [sticker:1391391008142393349.gif] || 074c1392: [sticker:5321110857906657778.webm] || 396f6d84: [sticker:5442859737500619287.gif] || e1914d8e: [sticker:5451738890895364989.gif] || None: [sticker:2345073579797...
38,19_session_0008#turn635,Media Sharing,neutral_acknowledgment,202331403893877187.png,30,7.9153,6028506376878164971.png,True,bc545aa2: || bc545aa2: || 91d56cc2: || 91d56cc2: || bc545aa2: [sticker:5767096349208087919.png] || 91d56cc2: || bc545aa2: || 91d56cc2: || bc545aa2: [sticker:202331403893872817.png] || 065120bc: || 18dd3324: || 91d56cc2:
39,58_session_0003#turn5327,Media Sharing,neutral_acknowledgment,5879700508989459645.png,31,7.9523,202331403893877459.png,True,116d0311: [sticker:5005970617564922590.png] || 5ef59e1c: [sticker:5465476124748289343.webm] || None: [sticker:202331403893875412.png] || 116d0311: [sticker:5848225270657454117.png] || None: [sticker:202331403893876623...
40,51_session_0157#turn91,Social,humor_teasing,511189687629522624.png,32,8.2211,5463267974687231154.gif,True,25426742: Wait all take MC the next day.. 😂 || 9c426795: @#USER sponsor her || 1407c9dd: Siao || 1407c9dd: Waste money de || 1407c9dd: || 1407c9dd: || 1407c9dd: Hmmmmmm || 2b5075ee: who? || 9c426795: You lol 😜 || 2b50...
41,58_session_0003#turn2388,Media Sharing,neutral_acknowledgment,202331403893875177.png,32,8.1622,202331403893877459.png,True,39aabec1: || 39aabec1: [sticker:5911476433686891291.png] || 39aabec1: [sticker:5911476433686891291.png] || 39aabec1: [sticker:5911476433686891291.png] || 39aabec1: [sticker:5911245583489698192.png] || None: [sticker:5...
42,58_session_0003#turn3335,Media Sharing,celebration_approval,202331403893874242.png,32,7.8967,202331403893877459.png,True,None: [sticker:5918097009809558119.png] || None: [sticker:202331403893874745.png] || None: [sticker:202331403893874746.png] || c9327094: || None: [sticker:5920477177605786922.png] || c9327094: [sticker:145139078643947...
43,19_session_0008#turn1014,Media Sharing,neutral_acknowledgment,202331403893875174.png,34,7.9323,6028506376878164971.png,True,7bcb06c0: || 7bcb06c0: || bc545aa2: || 7bcb06c0: || 7bcb06c0: || bc545aa2: || bc545aa2: || 7bcb06c0: || 7bcb06c0: || 7bcb06c0: || 6938e747: || 1f5ce2c1: [sticker:5461085461285974254.webm]
44,58_session_0003#turn3155,Media Sharing,neutral_acknowledgment,202331403893873084.png,35,8.3916,202331403893877459.png,False,None: [sticker:5787540453666589489.png] || c9327094: || None: [sticker:202331403893874302.png] || None: [sticker:5911140515704737103.png] || None: [sticker:5836975192236100284.png] || None: [sticker:202331403893873433...
45,58_session_0003#turn6567,Media Sharing,frustration_disapproval,202331403893870089.png,35,7.4109,202331403893877739.png,True,"f7d15a6f: Alo eblani, kak i suda popal || f7d15a6f: I russkii blyat I ebal vashi rti || 7c5dba02: why was I added here? || 7c5dba02: and why the hell can't you write messages in Russian || None: || c9327094: To grow t..."
46,19_session_0008#turn2786,Media Sharing,neutral_acknowledgment,202331403893870415.png,36,7.7553,5823580692478431132.png,True,f3e339f9: || bc545aa2: [sticker:6028572656813477115.png] || f3e339f9: [sticker:6294091825724526430.webm] || f3e339f9: || f3e339f9: || dc777b1f: || f3e339f9: || bc545aa2: || b179abdc: || dc777b1f: || bc545aa2: || 949b2...
47,58_session_0003#turn6660,Media Sharing,neutral_acknowledgment,5859721790007298912.png,37,8.3766,202331403893877459.png,True,None: [sticker:6008111686018403280.png] || None: [sticker:5789893803687020945.png] || None: [sticker:5978552312338058777.png] || c9327094: [sticker:202331403893870576.png] || c9327094: || c9327094: || None: [sticker:5...
48,58_session_0003#turn4651,Media Sharing,celebration_approval,202331403893873558.png,37,7.8601,202331403893877459.png,True,None: [sticker:202331403893873323.png] || None: [sticker:202331403893873369.png] || None: [sticker:202331403893873426.png] || None: [sticker:202331403893874320.png] || None: [sticker:202331403893870055.png] || 1df6e14...
49,40_session_0001#turn648879,Game,humor_teasing,1833563040931381708.png,37,7.728,1833563040931381707.png,True,eb879db9: #USER_ID @#USER say she need duo || eb879db9: so u cn go || eb879db9: udn ask || eb879db9: js hit her up oni || 32f9a57c: #USER_ID more interested || eb879db9: single btw || ad58b567: Crazy ah || 68b30bb5: B...
50,58_session_0012#turn33,Media Sharing,frustration_disapproval,202331403893876626.png,39,8.5459,202331403893877459.png,True,None: [sticker:202331403893874023.png] || None: [sticker:6007829498077120970.png] || None: [sticker:6008203971980692118.png] || cb5cc72e: [sticker:6309747222036611785.png] || cb5cc72e: [sticker:6287345578858777164.web...
